source_a,source_b,benchmark,n_models,tau_b,ci_lo,ci_hi,pvalue,rq_type
helm_classic,helm_lite,MMLU,3,-1.0,-1.0,-1.0,0.3333,paper_vs_paper
helm_classic,helm_lite,Mean win rate,3,-0.3333,-1.0,1.0,1.0,paper_vs_paper
helm_classic,helm_lite,NarrativeQA,3,0.8165,0.8165,1.0,0.2207,paper_vs_paper
helm_classic,helm_lite,OpenbookQA,3,-0.3333,-1.0,1.0,1.0,paper_vs_paper
helm_lite,helm_mmlu,Mean win rate,72,-0.0987,-0.2316,0.0479,0.2205,paper_vs_paper
hfopenllm_v2,papers_2402.16819,BBH,4,0.3333,-1.0,1.0,0.75,leaderboard_vs_paper
hfopenllm_v2,papers_2403.17297,BBH,5,0.6,-1.0,1.0,0.2333,leaderboard_vs_paper
hfopenllm_v2,papers_2403.17297,IFEval,4,-0.6667,-1.0,1.0,0.3333,leaderboard_vs_paper
hfopenllm_v2,papers_2407.10671,BBH,16,0.85,0.6814,0.9813,0.0,leaderboard_vs_paper
hfopenllm_v2,papers_2407.10671,GPQA,11,0.7091,0.4043,0.9216,0.0016,leaderboard_vs_paper
hfopenllm_v2,papers_2407.10671,IFEval,12,0.2727,-0.2881,0.8417,0.2496,leaderboard_vs_paper
hfopenllm_v2,papers_2412.15115,BBH,15,0.981,0.9149,1.0,0.0,leaderboard_vs_paper
hfopenllm_v2,papers_2412.15115,GPQA,15,0.7404,0.5203,0.9369,0.0001,leaderboard_vs_paper
hfopenllm_v2,papers_2412.15115,IFEval,11,0.8545,0.5918,1.0,0.0,leaderboard_vs_paper
hfopenllm_v2,papers_2505.09388,BBH,8,0.9286,0.6161,1.0,0.0004,leaderboard_vs_paper
hfopenllm_v2,papers_2505.09388,GPQA,12,0.5758,0.2203,0.8689,0.0088,leaderboard_vs_paper
hfopenllm_v2,papers_2505.09388,IFEval,11,0.8545,0.5916,1.0,0.0,leaderboard_vs_paper
papers_2310.06825,papers_2401.04088,ARC-Challenge,3,1.0,1.0,1.0,0.3333,paper_vs_paper
papers_2310.06825,papers_2401.04088,ARC-Easy,3,1.0,1.0,1.0,0.3333,paper_vs_paper
papers_2310.06825,papers_2401.04088,GSM8K,3,1.0,1.0,1.0,0.3333,paper_vs_paper
papers_2310.06825,papers_2401.04088,HellaSwag,3,1.0,1.0,1.0,0.3333,paper_vs_paper
papers_2310.06825,papers_2401.04088,MATH,3,1.0,1.0,1.0,0.3333,paper_vs_paper
papers_2310.06825,papers_2401.04088,MBPP,3,1.0,1.0,1.0,0.3333,paper_vs_paper
papers_2310.06825,papers_2401.04088,MMLU,3,1.0,1.0,1.0,0.3333,paper_vs_paper
papers_2310.06825,papers_2401.04088,NaturalQuestions,3,-0.3333,-1.0,1.0,1.0,paper_vs_paper
papers_2310.06825,papers_2401.04088,PIQA,3,1.0,1.0,1.0,0.3333,paper_vs_paper
papers_2310.06825,papers_2401.04088,WinoGrande,3,1.0,1.0,1.0,0.3333,paper_vs_paper
papers_2310.06825,papers_2403.17297,GSM8K,3,1.0,1.0,1.0,0.3333,paper_vs_paper
papers_2310.06825,papers_2403.17297,HellaSwag,3,1.0,1.0,1.0,0.3333,paper_vs_paper
papers_2310.06825,papers_2403.17297,HumanEval,3,1.0,1.0,1.0,0.3333,paper_vs_paper
papers_2310.06825,papers_2403.17297,MATH,3,1.0,1.0,1.0,0.3333,paper_vs_paper
papers_2310.06825,papers_2403.17297,MBPP,3,1.0,1.0,1.0,0.3333,paper_vs_paper
papers_2310.06825,papers_2403.17297,MMLU,3,1.0,1.0,1.0,0.3333,paper_vs_paper
papers_2310.06825,papers_2403.17297,NaturalQuestions,3,1.0,1.0,1.0,0.3333,paper_vs_paper
papers_2310.06825,papers_2403.17297,TriviaQA,3,1.0,1.0,1.0,0.3333,paper_vs_paper
papers_2310.06825,papers_2403.17297,WinoGrande,3,1.0,1.0,1.0,0.3333,paper_vs_paper
papers_2310.06825,papers_2501.00656,MMLU,3,-0.3333,-1.0,1.0,1.0,paper_vs_paper
papers_2312.06550,papers_2404.05892,HellaSwag,3,1.0,1.0,1.0,0.3333,paper_vs_paper
papers_2312.06550,papers_2501.00656,MMLU,3,-1.0,-1.0,-1.0,0.3333,paper_vs_paper
papers_2312.15166,papers_2401.04088,GSM8K,3,1.0,1.0,1.0,0.3333,paper_vs_paper
papers_2312.15166,papers_2401.04088,HellaSwag,3,0.3333,-1.0,1.0,1.0,paper_vs_paper
papers_2312.15166,papers_2401.04088,MMLU,3,1.0,1.0,1.0,0.3333,paper_vs_paper
papers_2312.15166,papers_2401.04088,WinoGrande,3,1.0,1.0,1.0,0.3333,paper_vs_paper
papers_2312.15166,papers_2403.17297,GSM8K,3,1.0,1.0,1.0,0.3333,paper_vs_paper
papers_2312.15166,papers_2403.17297,HellaSwag,3,0.3333,-1.0,1.0,1.0,paper_vs_paper
papers_2312.15166,papers_2403.17297,MMLU,3,1.0,1.0,1.0,0.3333,paper_vs_paper
papers_2312.15166,papers_2403.17297,WinoGrande,3,1.0,1.0,1.0,0.3333,paper_vs_paper
papers_2401.04088,papers_2403.17297,GSM8K,4,1.0,1.0,1.0,0.0833,paper_vs_paper
papers_2401.04088,papers_2403.17297,HellaSwag,4,1.0,1.0,1.0,0.0833,paper_vs_paper
papers_2401.04088,papers_2403.17297,MATH,4,1.0,1.0,1.0,0.0833,paper_vs_paper
papers_2401.04088,papers_2403.17297,MBPP,4,1.0,1.0,1.0,0.0833,paper_vs_paper
papers_2401.04088,papers_2403.17297,MMLU,4,1.0,1.0,1.0,0.0833,paper_vs_paper
papers_2401.04088,papers_2403.17297,NaturalQuestions,4,0.3333,-1.0,1.0,0.75,paper_vs_paper
papers_2401.04088,papers_2403.17297,WinoGrande,4,1.0,1.0,1.0,0.0833,paper_vs_paper
papers_2401.04088,papers_2501.00656,MMLU,3,-0.3333,-1.0,1.0,1.0,paper_vs_paper
papers_2402.16819,papers_2403.08295,ARC-Challenge,3,0.3333,-1.0,1.0,1.0,paper_vs_paper
papers_2402.16819,papers_2403.08295,ARC-Easy,3,1.0,1.0,1.0,0.3333,paper_vs_paper
papers_2402.16819,papers_2403.08295,HellaSwag,3,0.3333,-1.0,1.0,1.0,paper_vs_paper
papers_2402.16819,papers_2403.08295,HumanEval,3,1.0,1.0,1.0,0.3333,paper_vs_paper
papers_2402.16819,papers_2403.08295,MMLU,3,1.0,1.0,1.0,0.3333,paper_vs_paper
papers_2402.16819,papers_2403.08295,PIQA,3,0.3333,-1.0,1.0,1.0,paper_vs_paper
papers_2402.16819,papers_2403.08295,WinoGrande,3,-0.3333,-1.0,1.0,1.0,paper_vs_paper
papers_2402.16819,papers_2407.10671,ARC-Challenge,3,-0.3333,-1.0,1.0,1.0,paper_vs_paper
papers_2402.16819,papers_2407.10671,BBH,3,-0.3333,-1.0,1.0,1.0,paper_vs_paper
papers_2402.16819,papers_2407.10671,HellaSwag,3,1.0,1.0,1.0,0.3333,paper_vs_paper
papers_2402.16819,papers_2407.10671,HumanEval,3,0.3333,-1.0,1.0,1.0,paper_vs_paper
papers_2402.16819,papers_2407.10671,MMLU,3,1.0,1.0,1.0,0.3333,paper_vs_paper
papers_2402.16819,papers_2412.15115,HumanEval,3,0.3333,-1.0,1.0,1.0,paper_vs_paper
papers_2402.19173,papers_2405.04324,MBPP,4,1.0,1.0,1.0,0.0833,paper_vs_paper
papers_2403.17297,papers_2501.00656,GSM8K,3,1.0,1.0,1.0,0.3333,paper_vs_paper
papers_2403.17297,papers_2501.00656,MMLU,4,0.3333,-1.0,1.0,0.75,paper_vs_paper
papers_2403.19887,papers_2407.10671,ARC-Challenge,3,1.0,1.0,1.0,0.3333,paper_vs_paper
papers_2403.19887,papers_2407.10671,HellaSwag,3,1.0,1.0,1.0,0.3333,paper_vs_paper
papers_2403.19887,papers_2407.10671,TruthfulQA,3,1.0,1.0,1.0,0.3333,paper_vs_paper
papers_2403.19887,papers_2407.10671,WinoGrande,3,1.0,1.0,1.0,0.3333,paper_vs_paper
papers_2407.10671,papers_2408.00118,ARC-Challenge,3,-1.0,-1.0,-1.0,0.3333,paper_vs_paper
papers_2407.10671,papers_2408.00118,GSM8K,3,0.3333,-1.0,1.0,1.0,paper_vs_paper
papers_2407.10671,papers_2408.00118,HellaSwag,3,-0.3333,-1.0,1.0,1.0,paper_vs_paper
papers_2407.10671,papers_2408.00118,MMLU,3,0.3333,-1.0,1.0,1.0,paper_vs_paper
papers_2407.10671,papers_2408.00118,WinoGrande,3,-0.3333,-1.0,1.0,1.0,paper_vs_paper
papers_2407.10671,papers_2409.12122,GSM8K,3,1.0,1.0,1.0,0.3333,paper_vs_paper
papers_2407.10671,papers_2409.12122,MATH,5,1.0,1.0,1.0,0.0167,paper_vs_paper
papers_2407.10671,papers_2409.12122,MMLU,3,1.0,1.0,1.0,0.3333,paper_vs_paper
papers_2407.10671,papers_2412.15115,ARC-Challenge,9,1.0,1.0,1.0,0.0,paper_vs_paper
papers_2407.10671,papers_2412.15115,BBH,9,1.0,1.0,1.0,0.0,paper_vs_paper
papers_2407.10671,papers_2412.15115,GPQA,6,0.9661,0.8321,1.0,0.0074,paper_vs_paper
papers_2407.10671,papers_2412.15115,GSM8K,9,0.7778,0.3937,1.0,0.0024,paper_vs_paper
papers_2407.10671,papers_2412.15115,HellaSwag,9,1.0,1.0,1.0,0.0,paper_vs_paper
papers_2407.10671,papers_2412.15115,HumanEval,14,0.977,0.8571,1.0,0.0,paper_vs_paper
papers_2407.10671,papers_2412.15115,IFEval,4,1.0,1.0,1.0,0.0833,paper_vs_paper
papers_2407.10671,papers_2412.15115,MATH,12,0.8154,0.586,1.0,0.0003,paper_vs_paper
papers_2407.10671,papers_2412.15115,MBPP,14,0.9341,0.7143,1.0,0.0,paper_vs_paper
papers_2407.10671,papers_2412.15115,MMLU,9,1.0,1.0,1.0,0.0,paper_vs_paper
papers_2407.10671,papers_2412.15115,MMLU-Pro,9,1.0,1.0,1.0,0.0,paper_vs_paper
papers_2407.10671,papers_2412.15115,TruthfulQA,9,1.0,1.0,1.0,0.0,paper_vs_paper
papers_2407.10671,papers_2412.15115,WinoGrande,6,1.0,1.0,1.0,0.0028,paper_vs_paper
papers_2407.10671,papers_2505.09388,GPQA,3,1.0,1.0,1.0,0.3333,paper_vs_paper
papers_2407.10671,papers_2505.09388,GSM8K,5,1.0,1.0,1.0,0.0167,paper_vs_paper
papers_2407.10671,papers_2505.09388,HumanEval,4,1.0,1.0,1.0,0.0833,paper_vs_paper
papers_2407.10671,papers_2505.09388,IFEval,4,1.0,1.0,1.0,0.0833,paper_vs_paper
papers_2407.10671,papers_2505.09388,MATH,8,0.7143,0.2381,1.0,0.0141,paper_vs_paper
papers_2407.10671,papers_2505.09388,MBPP,5,1.0,1.0,1.0,0.0167,paper_vs_paper
papers_2407.10671,papers_2505.09388,MMLU,5,1.0,1.0,1.0,0.0167,paper_vs_paper
papers_2407.10671,papers_2505.09388,MMLU-Pro,5,1.0,1.0,1.0,0.0167,paper_vs_paper
papers_2409.12122,papers_2412.15115,GSM8K,5,0.6,-0.7143,1.0,0.2333,paper_vs_paper
papers_2409.12122,papers_2412.15115,MATH,7,0.619,0.0559,1.0,0.069,paper_vs_paper
papers_2409.12122,papers_2412.15115,MMLU,4,1.0,1.0,1.0,0.0833,paper_vs_paper
papers_2409.12122,papers_2505.09388,GSM8K,5,0.6,-0.5,1.0,0.2333,paper_vs_paper
papers_2409.12122,papers_2505.09388,MATH,7,0.619,-0.0588,1.0,0.069,paper_vs_paper
papers_2409.12122,papers_2505.09388,MMLU,4,0.6667,-1.0,1.0,0.3333,paper_vs_paper
papers_2409.12186,papers_2411.04905,HumanEval,9,0.8333,0.3939,1.0,0.0009,paper_vs_paper
papers_2409.12186,papers_2411.04905,LiveCodeBench,6,0.6,-0.2308,1.0,0.1361,paper_vs_paper
papers_2409.12186,papers_2411.04905,MBPP,8,0.982,0.9088,1.0,0.0008,paper_vs_paper
papers_2412.15115,papers_2505.09388,BBH,9,1.0,1.0,1.0,0.0,paper_vs_paper
papers_2412.15115,papers_2505.09388,GPQA,24,0.6728,0.4747,0.8413,0.0,paper_vs_paper
papers_2412.15115,papers_2505.09388,GSM8K,25,0.8763,0.7345,0.986,0.0,paper_vs_paper
papers_2412.15115,papers_2505.09388,HumanEval,23,0.498,0.1661,0.7777,0.001,paper_vs_paper
papers_2412.15115,papers_2505.09388,IFEval,26,1.0,1.0,1.0,0.0,paper_vs_paper
papers_2412.15115,papers_2505.09388,LiveCodeBench,22,1.0,1.0,1.0,0.0,paper_vs_paper
papers_2412.15115,papers_2505.09388,MATH,34,0.9465,0.8561,1.0,0.0,paper_vs_paper
papers_2412.15115,papers_2505.09388,MBPP,25,0.7002,0.5194,0.8431,0.0,paper_vs_paper
papers_2412.15115,papers_2505.09388,MMLU,25,0.9467,0.8745,1.0,0.0,paper_vs_paper
papers_2412.15115,papers_2505.09388,MMLU-Pro,24,0.9203,0.8146,1.0,0.0,paper_vs_paper
